session_id,vehicle_id,vehicle_type,number_plate,entry_time,exit_time,crossing_duration,run_type,algorithm,created_at
session_1781681691774,v13,car,TS41CP2538,0.0,1.12,1.12,baseline,fixed_time,2026-06-17T07:34:52.170232
session_1781681691774,v17,two_wheeler,KA94QS2359,0.0,5.88,5.88,baseline,fixed_time,2026-06-17T07:34:53.375917
session_1781681691774,v18,two_wheeler,DL56ZD2011,0.0,7.12,7.12,baseline,fixed_time,2026-06-17T07:34:53.697364
session_1781681691774,v22,car,GJ57ND9805,0.0,11.35,11.35,baseline,fixed_time,2026-06-17T07:34:54.198904
session_1781681691774,v1,auto_rickshaw,DL61EZ1501,0.0,12.15,12.15,baseline,fixed_time,2026-06-17T07:34:54.214053
session_1781681691774,v6,two_wheeler,HR92CF2412,0.0,12.15,12.15,baseline,fixed_time,2026-06-17T07:34:54.228259
session_1781681691774,v2,car,UP44PT8566,0.0,12.55,12.55,baseline,fixed_time,2026-06-17T07:34:54.301590
session_1781681691774,v5,car,KL53BW4889,0.0,13.25,13.25,baseline,fixed_time,2026-06-17T07:34:54.311760
session_1781681691774,v4,car,DL23TJ2327,0.0,13.55,13.55,baseline,fixed_time,2026-06-17T07:34:54.386873
session_1781681691774,v3,two_wheeler,AP78UF6611,0.0,13.85,13.85,baseline,fixed_time,2026-06-17T07:34:54.392166
session_1781681691774,v14,auto_rickshaw,KL95JA2231,0.0,14.45,14.45,baseline,fixed_time,2026-06-17T07:34:54.478933
session_1781681691774,v26,two_wheeler,AP88TI4510,0.0,16.35,16.35,baseline,fixed_time,2026-06-17T07:34:54.631561
session_1781681691774,v16,truck,KL62PU3794,0.0,16.95,16.95,baseline,fixed_time,2026-06-17T07:34:54.643662
session_1781681691774,v27,car,KL78PC8290,0.0,17.35,17.35,baseline,fixed_time,2026-06-17T07:34:54.715395
session_1781681691774,v19,ev_scooter,KA44YF4557,0.0,20.85,20.85,baseline,fixed_time,2026-06-17T07:34:54.915556
session_1781681691774,v20,car,UP83SH5287,0.0,21.95,21.95,baseline,fixed_time,2026-06-17T07:34:54.985366
session_1781681691774,v34,ev_scooter,DL34BV5629,0.0,26.35,26.35,baseline,fixed_time,2026-06-17T07:34:55.327130
session_1781681691774,v24,car,DL51WR8154,0.0,26.55,26.55,baseline,fixed_time,2026-06-17T07:34:55.337590
session_1781681691774,v36,car,KL95PC7310,0.0,28.35,28.35,baseline,fixed_time,2026-06-17T07:34:55.460416
session_1781681691774,v43,car,GJ18SC2279,0.0,36.35,36.35,baseline,fixed_time,2026-06-17T07:34:56.028921
session_1781681691774,v9,auto_rickshaw,UP69II2982,0.0,39.65,39.65,baseline,fixed_time,2026-06-17T07:34:56.232048
session_1781681691774,v21,car,TS82WY6173,0.0,39.65,39.65,baseline,fixed_time,2026-06-17T07:34:56.236622
session_1781681691774,v12,auto_rickshaw,HR98UP6815,0.0,39.75,39.75,baseline,fixed_time,2026-06-17T07:34:56.246953
session_1781681691774,v7,two_wheeler,KL81PP8067,0.0,39.85,39.85,baseline,fixed_time,2026-06-17T07:34:56.254060
session_1781681691774,v11,two_wheeler,TN24UL3520,0.0,39.85,39.85,baseline,fixed_time,2026-06-17T07:34:56.260218
session_1781681691774,v8,car,AP23IV5516,0.0,40.25,40.25,baseline,fixed_time,2026-06-17T07:34:56.266267
session_1781681691774,v15,two_wheeler,TN67DQ1899,0.0,40.65,40.65,baseline,fixed_time,2026-06-17T07:34:56.338980
session_1781681691774,v28,truck,TS72XZ2999,0.0,40.65,40.65,baseline,fixed_time,2026-06-17T07:34:56.350912
session_1781681691774,v31,ev_scooter,GJ16BI3896,0.0,40.95,40.95,baseline,fixed_time,2026-06-17T07:34:56.361250
session_1781681691774,v30,car,KA59ZW7077,0.0,41.15,41.15,baseline,fixed_time,2026-06-17T07:34:56.363152
session_1781681691774,v10,car,DL86LQ1321,0.0,42.05,42.05,baseline,fixed_time,2026-06-17T07:34:56.437742
session_1781681691774,v23,car,TN83NG1972,0.0,42.15,42.15,baseline,fixed_time,2026-06-17T07:34:56.447816
session_1781681691774,v48,two_wheeler,KA37IW3354,0.0,42.35,42.35,baseline,fixed_time,2026-06-17T07:34:56.531589
session_1781681691774,v29,car,HR91OM9642,0.0,42.75,42.75,baseline,fixed_time,2026-06-17T07:34:56.531589
session_1781681691774,v38,cab,KA11ZX7492,0.0,43.15,43.15,baseline,fixed_time,2026-06-17T07:34:56.547437
session_1781681691774,v25,e_rickshaw,KL87QQ3233,0.0,44.25,44.25,baseline,fixed_time,2026-06-17T07:34:56.619126
session_1781681691774,v40,two_wheeler,MH80ZB6777,0.0,45.85,45.85,baseline,fixed_time,2026-06-17T07:34:56.744822
session_1781681691774,v41,two_wheeler,KL47LU4461,0.0,46.95,46.95,baseline,fixed_time,2026-06-17T07:34:56.813599
session_1781681691774,v39,ev_scooter,UP65RA6506,0.0,47.45,47.45,baseline,fixed_time,2026-06-17T07:34:56.875715
session_1781681691774,v54,car,KL38ZL8204,0.0,50.35,50.35,baseline,fixed_time,2026-06-17T07:34:57.059830
session_1781681691774,v45,car,TS55EA1666,0.0,52.25,52.25,baseline,fixed_time,2026-06-17T07:34:57.135508
session_1781681691774,v56,auto_rickshaw,GJ25JK7351,0.0,52.35,52.35,baseline,fixed_time,2026-06-17T07:34:57.199182
session_1781681691774,v46,two_wheeler,MH50ZE7829,0.0,52.45,52.45,baseline,fixed_time,2026-06-17T07:34:57.211335
session_1781681691774,v58,car,HR15SX2025,0.0,54.35,54.35,baseline,fixed_time,2026-06-17T07:34:57.338532
session_1781681691774,v60,ev_scooter,TN27KT2021,0.0,57.35,57.35,baseline,fixed_time,2026-06-17T07:34:57.536393
session_1781681691774,v51,auto_rickshaw,AP37CY7872,0.0,59.15,59.15,baseline,fixed_time,2026-06-17T07:34:57.616896
session_1781681691774,v66,car,GJ76CG4583,0.0,64.35,64.35,baseline,fixed_time,2026-06-17T07:34:58.011072
session_1781681691774,v69,car,TN41SX8604,0.0,68.35,68.35,baseline,fixed_time,2026-06-17T07:34:58.311702
session_1781681691774,v50,car,KA97MY9276,0.0,73.65,73.65,baseline,fixed_time,2026-06-17T07:34:58.655662
session_1781681691774,v52,car,TN40YB1880,0.0,73.65,73.65,baseline,fixed_time,2026-06-17T07:34:58.660394
session_1781681691774,v33,car,TS24FS1284,0.0,73.75,73.75,baseline,fixed_time,2026-06-17T07:34:58.670274
session_1781681691774,v32,two_wheeler,HR77NX2442,0.0,73.85,73.85,baseline,fixed_time,2026-06-17T07:34:58.685771
session_1781681691774,v47,two_wheeler,GJ72IU1719,0.0,73.85,73.85,baseline,fixed_time,2026-06-17T07:34:58.700500
session_1781681691774,v49,two_wheeler,MH29LS9015,0.0,73.85,73.85,baseline,fixed_time,2026-06-17T07:34:58.712420
session_1781681691774,v37,car,HR42ZS7477,0.0,73.95,73.95,baseline,fixed_time,2026-06-17T07:34:58.722407
session_1781681691774,v44,car,GJ35AW5271,0.0,73.95,73.95,baseline,fixed_time,2026-06-17T07:34:58.734034
session_1781681691774,v53,auto_rickshaw,AP89BF1534,0.0,74.65,74.65,baseline,fixed_time,2026-06-17T07:34:58.804988
session_1781681691774,v35,car,TN71YJ7559,0.0,75.15,75.15,baseline,fixed_time,2026-06-17T07:34:58.816689
session_1781681691774,v64,two_wheeler,HR49MJ4353,0.0,75.25,75.25,baseline,fixed_time,2026-06-17T07:34:58.823069
session_1781681691774,v62,car,KL07AJ5477,0.0,75.35,75.35,baseline,fixed_time,2026-06-17T07:34:58.884460
session_1781681691774,v75,car,GJ48ML2238,0.0,75.35,75.35,baseline,fixed_time,2026-06-17T07:34:58.884460
session_1781681691774,v42,two_wheeler,AP28HI4837,0.0,75.75,75.75,baseline,fixed_time,2026-06-17T07:34:58.900566
session_1781681691774,v59,car,AP40OR6440,0.0,76.05,76.05,baseline,fixed_time,2026-06-17T07:34:58.910489
session_1781681691774,v65,ev_scooter,TN73ZZ1518,0.0,76.25,76.25,baseline,fixed_time,2026-06-17T07:34:58.924290
session_1781681691774,v76,ev_scooter,TS59NN9792,0.0,76.35,76.35,baseline,fixed_time,2026-06-17T07:34:59.008306
session_1781681691774,v57,car,UP16FI2997,0.0,76.45,76.45,baseline,fixed_time,2026-06-17T07:34:59.010755
session_1781681691774,v55,e_rickshaw,TS40OW5126,0.0,76.75,76.75,baseline,fixed_time,2026-06-17T07:34:59.028909
session_1781681691774,v61,car,TS31FY2231,0.0,76.75,76.75,baseline,fixed_time,2026-06-17T07:34:59.034513
session_1781681691774,v67,car,UP83KS5995,0.0,78.55,78.55,baseline,fixed_time,2026-06-17T07:34:59.147879
session_1781681691774,v74,auto_rickshaw,UP12AE5494,0.0,86.75,86.75,baseline,fixed_time,2026-06-17T07:34:59.657338
session_1781681691774,v85,two_wheeler,MH34FG1892,0.0,87.35,87.35,baseline,fixed_time,2026-06-17T07:34:59.737942
session_1781681691774,v78,ev_scooter,DL89YH9567,0.0,90.7,90.7,baseline,fixed_time,2026-06-17T07:35:00.447695
session_1781681691774,v88,car,GJ22UX4456,0.0,91.2,91.2,baseline,fixed_time,2026-06-17T07:35:01.074529
session_1781681691774,v80,ev_scooter,TN94YQ2072,0.0,93.5,93.5,baseline,fixed_time,2026-06-17T07:35:03.961876
session_1781681691774,v90,car,UP26LR6377,0.0,93.6,93.6,baseline,fixed_time,2026-06-17T07:35:04.089108
session_1781681691774,v79,auto_rickshaw,UP72ZE9235,0.0,94.2,94.2,baseline,fixed_time,2026-06-17T07:35:04.851101
session_1781681691774,v91,car,GJ97VO3388,0.0,94.8,94.8,baseline,fixed_time,2026-06-17T07:35:05.604178
session_1781681691774,v81,two_wheeler,KL91FR1427,0.0,94.95,94.95,baseline,fixed_time,2026-06-17T07:35:05.791870
session_1781681691774,v94,car,DL62SS3946,0.0,98.4,98.4,baseline,fixed_time,2026-06-17T07:35:10.117037
session_1781681691774,v95,car,AP38MQ1643,0.0,99.6,99.6,baseline,fixed_time,2026-06-17T07:35:11.619673
session_1781681691774,v86,two_wheeler,KL90IS7779,0.0,100.55,100.55,baseline,fixed_time,2026-06-17T07:35:12.810358
session_1781681691774,v73,two_wheeler,AP75UW5679,0.0,105.8,105.8,baseline,fixed_time,2026-06-17T07:35:19.459999
session_1781681691774,v68,auto_rickshaw,HR94LB4494,0.0,105.85,105.85,baseline,fixed_time,2026-06-17T07:35:19.529618
session_1781681691774,v83,auto_rickshaw,KL17YY6027,0.0,105.95,105.95,baseline,fixed_time,2026-06-17T07:35:19.677118
